,name,uri,downloads,size
0,Ascii85,https://rubygems.org/gems/Ascii85-1.1.0.gem,21891891,12288
1,GeoRuby,https://rubygems.org/gems/GeoRuby-1.3.4.gem,280190,55808
2,actionmailbox,https://rubygems.org/gems/actionmailbox-6.1.0.gem,19248264,22016
3,active-triples,https://rubygems.org/gems/active-triples-1.1.1.gem,260942,67072
4,active_admin-sortable_tree,https://rubygems.org/gems/active_admin-sortable_tree-2.1.0.gem,162655,17920
5,apipie-bindings,https://rubygems.org/gems/apipie-bindings-0.4.0.gem,271937,30208
6,app_constants,https://rubygems.org/gems/app_constants-1.0.5.gem,113524,9728
7,aws-sdk-amplify,https://rubygems.org/gems/aws-sdk-amplify-1.27.0.gem,23900051,38400
8,aws-sdk-appmesh,https://rubygems.org/gems/aws-sdk-appmesh-1.33.0.gem,23197872,60416
9,aws-sdk-workspaces,https://rubygems.org/gems/aws-sdk-workspaces-1.49.0.gem,37908381,49152
10,bootstrap-multiselect_rails,https://rubygems.org/gems/bootstrap-multiselect_rails-0.9.5.gem,90208,13824
11,canonical-rails,https://rubygems.org/gems/canonical-rails-0.2.11.gem,2753208,8704
12,capsule_crm,https://rubygems.org/gems/capsule_crm-1.10.4.gem,97040,48640
13,cityhash,https://rubygems.org/gems/cityhash-0.9.0.gem,1972232,15360
14,classy_enum,https://rubygems.org/gems/classy_enum-4.0.0.gem,692819,20480
15,collins_client,https://rubygems.org/gems/collins_client-0.3.1.gem,153335,27136
16,compass-960-plugin,https://rubygems.org/gems/compass-960-plugin-0.10.4.gem,296001,6656
17,couchrest_model,https://rubygems.org/gems/couchrest_model-2.0.4.gem,225006,95744
18,craftbelt,https://rubygems.org/gems/craftbelt-0.0.7.gem,339063,7168
19,crossroads_capistrano,https://rubygems.org/gems/crossroads_capistrano-1.4.50.gem,157656,16896
20,dapp,https://rubygems.org/gems/dapp-0.36.32.gem,331925,102400
21,ddr-models,https://rubygems.org/gems/ddr-models-3.0.8.gem,152531,8363008
22,delayed_job_web,https://rubygems.org/gems/delayed_job_web-1.4.3.gem,2741698,51200
23,dpl-firebase,https://rubygems.org/gems/dpl-firebase-1.10.16.gem,198263,5120
24,dumb_delegator,https://rubygems.org/gems/dumb_delegator-1.0.0.gem,2139005,12288
25,elasticity,https://rubygems.org/gems/elasticity-6.0.14.gem,480477,54784
26,eligible,https://rubygems.org/gems/eligible-2.9.10.gem,138990,30720
27,engine_cart,https://rubygems.org/gems/engine_cart-2.3.0.gem,196653,13824
28,evergreen,https://rubygems.org/gems/evergreen-1.2.0.gem,270737,210432
29,exonio,https://rubygems.org/gems/exonio-0.5.4.gem,103522,10752
30,ffi-win32-extensions,https://rubygems.org/gems/ffi-win32-extensions-1.0.4.gem,370333,12800
31,fix_microsoft_links,https://rubygems.org/gems/fix_microsoft_links-0.1.6.gem,152685,5120
32,flatpickr_rails,https://rubygems.org/gems/flatpickr_rails-1.1.0.gem,156410,51200
33,fluent-plugin-genhashvalue,https://rubygems.org/gems/fluent-plugin-genhashvalue-1.1.gem,127564,9216
34,fluent-plugin-prometheus,https://rubygems.org/gems/fluent-plugin-prometheus-1.8.5.gem,2316349,26624
35,fluent-plugin-td,https://rubygems.org/gems/fluent-plugin-td-1.1.0.gem,222457,14336
36,fog-azure,https://rubygems.org/gems/fog-azure-0.0.2.gem,242678,15872
37,font-awesome-sass,https://rubygems.org/gems/font-awesome-sass-5.15.1.gem,11398312,1408000
38,google-cloud-trace,https://rubygems.org/gems/google-cloud-trace-0.40.0.gem,2578925,44544
39,gqtp,https://rubygems.org/gems/gqtp-1.0.7.gem,184280,24064
40,grape-entity,https://rubygems.org/gems/grape-entity-0.8.2.gem,13044446,44544
41,grape-entity-matchers,https://rubygems.org/gems/grape-entity-matchers-1.3.0.gem,222313,11264
42,grizzly_ber,https://rubygems.org/gems/grizzly_ber-1.1.0.gem,135844,10752
43,haml_coffee_assets,https://rubygems.org/gems/haml_coffee_assets-1.18.0.gem,1832124,34816
44,hive-messages,https://rubygems.org/gems/hive-messages-1.0.7.gem,332219,17408
45,hot_tub,https://rubygems.org/gems/hot_tub-1.1.0.gem,741284,21504
46,http_accept_language,https://rubygems.org/gems/http_accept_language-2.1.1.gem,7755005,10752
47,influxdb,https://rubygems.org/gems/influxdb-0.8.0.gem,9295437,44544
48,json-canonicalization,https://rubygems.org/gems/json-canonicalization-0.2.0.gem,113244,9728
49,json_api_client,https://rubygems.org/gems/json_api_client-1.18.0.gem,1715892,28672
50,jsonlint,https://rubygems.org/gems/jsonlint-0.3.0.gem,1008905,10240
51,kaminari,https://rubygems.org/gems/kaminari-1.2.1.gem,72388923,22528
52,ldap_fluff,https://rubygems.org/gems/ldap_fluff-0.5.0.gem,689238,15872
53,logstash-codec-protobuf,https://rubygems.org/gems/logstash-codec-protobuf-1.2.2.gem,886213,31232
54,logstash-filter-grok,https://rubygems.org/gems/logstash-filter-grok-4.3.0.gem,2431488,23552
55,logstash-filter-useragent,https://rubygems.org/gems/logstash-filter-useragent-3.0.3.gem,2380172,11264
56,logstash-output-slack,https://rubygems.org/gems/logstash-output-slack-2.2.0.gem,110791,10240
57,lumberjack,https://rubygems.org/gems/lumberjack-1.2.8.gem,41778537,29696
58,market_bot,https://rubygems.org/gems/market_bot-1.3.1.gem,194548,309248
59,marty,https://rubygems.org/gems/marty-14.3.0.gem,208387,486400
60,molinillo,https://rubygems.org/gems/molinillo-0.7.0.gem,23203917,29696
61,monkey-lib,https://rubygems.org/gems/monkey-lib-0.5.4.gem,107408,16896
62,net,https://rubygems.org/gems/net-0.3.3.gem,534232,28672
63,net-ssh-gateway,https://rubygems.org/gems/net-ssh-gateway-2.0.0.gem,33876253,14848
64,ng-rails-csrf,https://rubygems.org/gems/ng-rails-csrf-0.1.0.gem,606213,4096
65,omniauth-google-oauth2,https://rubygems.org/gems/omniauth-google-oauth2-0.8.1.gem,30474372,22016
66,openstudio-analysis,https://rubygems.org/gems/openstudio-analysis-1.0.6.gem,88247,45568
67,opskeleton,https://rubygems.org/gems/opskeleton-0.10.1.gem,89970,161280
68,ordinal_array,https://rubygems.org/gems/ordinal_array-0.2.0.gem,100425,5632
69,passenger,https://rubygems.org/gems/passenger-6.0.7.gem,18897216,7265792
70,phoney,https://rubygems.org/gems/phoney-0.2.1.gem,132275,50688
71,poltergeist,https://rubygems.org/gems/poltergeist-1.18.1.gem,25952271,58880
72,prmd,https://rubygems.org/gems/prmd-0.14.0.gem,664659,40448
73,prometheus_exporter,https://rubygems.org/gems/prometheus_exporter-0.6.0.gem,1960957,35328
74,puppet-debugger,https://rubygems.org/gems/puppet-debugger-1.0.0.gem,349040,256512
75,rabbitmq_http_api_client,https://rubygems.org/gems/rabbitmq_http_api_client-1.14.0.gem,457358,12288
76,rack-maintenance,https://rubygems.org/gems/rack-maintenance-2.1.0.gem,135715,7680
77,rack-utf8_sanitizer,https://rubygems.org/gems/rack-utf8_sanitizer-1.7.0.gem,5975657,12288
78,rails_bootstrap_navbar,https://rubygems.org/gems/rails_bootstrap_navbar-3.0.0.gem,121809,8192
79,rake_commit,https://rubygems.org/gems/rake_commit-1.4.0.gem,528304,9728
80,rbvmomi,https://rubygems.org/gems/rbvmomi-3.0.0.gem,20466837,267264
81,rconf,https://rubygems.org/gems/rconf-1.0.13.gem,195643,50176
82,roo,https://rubygems.org/gems/roo-2.8.3.gem,21105647,89088
83,ros-apartment,https://rubygems.org/gems/ros-apartment-2.8.0.gem,101442,45568
84,rpush,https://rubygems.org/gems/rpush-5.2.0.gem,1985399,107520
85,rspec-puppet-facts,https://rubygems.org/gems/rspec-puppet-facts-2.0.0.gem,3989493,29696
86,ruby-ldap,https://rubygems.org/gems/ruby-ldap-0.9.20.gem,1182280,67072
87,salesforce_bulk_api,https://rubygems.org/gems/salesforce_bulk_api-1.0.0.gem,2790348,13312
88,sauce-connect,https://rubygems.org/gems/sauce-connect-3.6.3.gem,719845,6656
89,sensu-spawn,https://rubygems.org/gems/sensu-spawn-2.5.0.gem,227187,13824
90,serfx,https://rubygems.org/gems/serfx-0.1.2.gem,195742,21504
91,spring-commands-thor,https://rubygems.org/gems/spring-commands-thor-1.0.1.gem,244439,6144
92,spud_cms,https://rubygems.org/gems/spud_cms-1.0.2.gem,98854,92160
93,standard,https://rubygems.org/gems/standard-0.10.2.gem,1435809,27648
94,sucker_punch,https://rubygems.org/gems/sucker_punch-2.1.2.gem,5414570,17920
95,toml,https://rubygems.org/gems/toml-0.2.0.gem,10033058,10240
96,vagrant-vbguest,https://rubygems.org/gems/vagrant-vbguest-0.28.0.gem,1722911,40448
97,vault-tools,https://rubygems.org/gems/vault-tools-2.0.2.gem,92621,27136
98,vegas,https://rubygems.org/gems/vegas-0.1.11.gem,27400171,12800
99,wrest,https://rubygems.org/gems/wrest-3.0.0.gem,209318,39936
