,name,uri,size,downloads
0,@blokz/cli,https://registry.npmjs.org/@blokz/cli/-/cli-0.0.1.tgz,17134,977
1,@chaosxu/cli,https://registry.npmjs.org/@chaosxu/cli/-/cli-0.0.19.tgz,6545,690
2,@darius-kiuberis/object-helpers,https://registry.npmjs.org/@darius-kiuberis/object-helpers/-/object-helpers-0.1.1.tgz,461,133
3,@evan.network/dbcp,https://registry.npmjs.org/@evan.network/dbcp/-/dbcp-1.11.2.tgz,7264787,9727
4,@extra-regexp/escape,https://registry.npmjs.org/@extra-regexp/escape/-/escape-0.0.25.tgz,1541,452
5,@guillrobin/canvas-led,https://registry.npmjs.org/@guillrobin/canvas-led/-/canvas-led-0.1.3.tgz,6964,183
6,@itkunst/core,https://registry.npmjs.org/@itkunst/core/-/core-0.0.1.tgz,1171416,95
7,@kmhgmbh/eslint-config,https://registry.npmjs.org/@kmhgmbh/eslint-config/-/eslint-config-1.0.2.tgz,2727,364
8,@kmtickets/common,https://registry.npmjs.org/@kmtickets/common/-/common-1.0.21.tgz,4913,1183
9,@kravc/schema,https://registry.npmjs.org/@kravc/schema/-/schema-2.2.0.tgz,11548,676
10,@ngxa/utils,https://registry.npmjs.org/@ngxa/utils/-/utils-0.17.1.tgz,169492,967
11,@novacms/assign,https://registry.npmjs.org/@novacms/assign/-/assign-1.0.0.tgz,539,120
12,@razee/kapitan-core,https://registry.npmjs.org/@razee/kapitan-core/-/kapitan-core-0.4.6.tgz,14891,1940
13,@reme3d2y/core-components-pure-input,https://registry.npmjs.org/@reme3d2y/core-components-pure-input/-/core-components-pure-input-1.0.0.tgz,4032,90
14,@ryancavanaugh/irc,https://registry.npmjs.org/@ryancavanaugh/irc/-/irc-0.3.15-alpha.tgz,5632,396
15,@sandalsoft/utils,https://registry.npmjs.org/@sandalsoft/utils/-/utils-1.0.0.tgz,7172,436
16,@seedalpha/job-queue,https://registry.npmjs.org/@seedalpha/job-queue/-/job-queue-2.1.12.tgz,3040,220
17,@styli/preset-default,https://registry.npmjs.org/@styli/preset-default/-/preset-default-0.15.1.tgz,11434,926
18,@types/npm-run-path,https://registry.npmjs.org/@types/npm-run-path/-/npm-run-path-3.0.1.tgz,1109,265662
19,@vjpr/bootstrap-loader,https://registry.npmjs.org/@vjpr/bootstrap-loader/-/bootstrap-loader-2.0.0-beta.19-vjpr.5.tgz,81780,390
20,@watchtower-dev/sdk-js,https://registry.npmjs.org/@watchtower-dev/sdk-js/-/sdk-js-0.0.6.tgz,5862,305
21,anti-robot,https://registry.npmjs.org/anti-robot/-/anti-robot-1.1.0.tgz,3966,160
22,antwar-minimal-theme,https://registry.npmjs.org/antwar-minimal-theme/-/antwar-minimal-theme-0.10.0.tgz,1045,2292
23,atengine,https://registry.npmjs.org/atengine/-/atengine-1.0.0-security.tgz,432,139
24,batch-jobs,https://registry.npmjs.org/batch-jobs/-/batch-jobs-1.0.2.tgz,2219,248
25,bitconv-cli,https://registry.npmjs.org/bitconv-cli/-/bitconv-cli-1.0.2.tgz,4999,178
26,biyi-admin-oa1,https://registry.npmjs.org/biyi-admin-oa1/-/biyi-admin-oa1-1.0.0.tgz,563503,1879
27,bsw-react-native-auth-client,https://registry.npmjs.org/bsw-react-native-auth-client/-/bsw-react-native-auth-client-1.1.1.tgz,18558,174
28,calendar-js,https://registry.npmjs.org/calendar-js/-/calendar-js-1.4.4.tgz,10526,10333
29,crawler-element-selector,https://registry.npmjs.org/crawler-element-selector/-/crawler-element-selector-1.1.1.tgz,3310,200
30,creator-deployer-cos,https://registry.npmjs.org/creator-deployer-cos/-/creator-deployer-cos-0.0.2.tgz,5141,178
31,crypticle,https://registry.npmjs.org/crypticle/-/crypticle-3.0.0.tgz,21748873,2544
32,cue-hook-relative,https://registry.npmjs.org/cue-hook-relative/-/cue-hook-relative-1.0.1.tgz,3176,237
33,devx-js-utilities,https://registry.npmjs.org/devx-js-utilities/-/devx-js-utilities-0.1.4.tgz,11642,13702
34,dewebpack,https://registry.npmjs.org/dewebpack/-/dewebpack-1.2.0.tgz,108069,264
35,dockerview,https://registry.npmjs.org/dockerview/-/dockerview-1.0.0.tgz,250,131
36,domvertices,https://registry.npmjs.org/domvertices/-/domvertices-0.0.2.tgz,5022,198
37,dp-component,https://registry.npmjs.org/dp-component/-/dp-component-0.1.1.tgz,20564,147
38,dubdubdub,https://registry.npmjs.org/dubdubdub/-/dubdubdub-1.0.1.tgz,830,173
39,duplet,https://registry.npmjs.org/duplet/-/duplet-0.2.0.tgz,2505,285
40,efficiently-update,https://registry.npmjs.org/efficiently-update/-/efficiently-update-1.0.0.tgz,343,128
41,eman-script,https://registry.npmjs.org/eman-script/-/eman-script-0.3.62.tgz,142853,15482
42,ember-strong-attrs,https://registry.npmjs.org/ember-strong-attrs/-/ember-strong-attrs-0.1.1.tgz,4139,185
43,eslint-config-vtex,https://registry.npmjs.org/eslint-config-vtex/-/eslint-config-vtex-12.8.10.tgz,11985,248000
44,fyndiq-component-dropdown,https://registry.npmjs.org/fyndiq-component-dropdown/-/fyndiq-component-dropdown-2.9.1.tgz,8274,2400
45,generator-cn1-spring-app,https://registry.npmjs.org/generator-cn1-spring-app/-/generator-cn1-spring-app-0.1.0.tgz,1704,117
46,generator-exstraperator,https://registry.npmjs.org/generator-exstraperator/-/generator-exstraperator-1.0.3.tgz,181763,277
47,gfui-ng2,https://registry.npmjs.org/gfui-ng2/-/gfui-ng2-0.0.4.tgz,6161,333
48,gulp-autocrop,https://registry.npmjs.org/gulp-autocrop/-/gulp-autocrop-0.0.6.tgz,2071,520
49,gulp-dgeni,https://registry.npmjs.org/gulp-dgeni/-/gulp-dgeni-0.1.0.tgz,5928,5352
50,hello-mercury,https://registry.npmjs.org/hello-mercury/-/hello-mercury-1.0.1.tgz,1943,167
