,name,downloads,size
0,stringcase,12649,2958
1,django-ipware,6926,9022
2,slimit,676,88217
3,mode,487,100623
4,objax,189,41248
5,airly,132,6153
6,tensorlayer,85,363293
7,curricula-shell,58,20659
8,perfectoai,55,53708
9,django-dynamic-model,39,6886
10,grepme,38,20777
11,comnamepy,28,3577
12,geomagpy,26,25437993
13,punters-client,26,11561
14,simplepam,17,2442
15,reactive-papi,16,15060
16,topsis-sukriti-401803026,14,2772
17,coub-api,14,23624
18,pypants,13,33864
19,pybacktrack,12,83539921
20,ocrd-tesserocr,10,49940
21,gitlab-ci-test,10,1022
22,pycanvas,10,301222
23,pyamlboot,8,25501872
24,github-homepage,7,1715
25,django-admirarchy,7,14343
26,cctx,7,5672
27,refifer,7,4348
28,openfermionpsi4,7,12820
29,gpgrecord,6,2073
30,watch,6,6441
31,quicksect,6,79763
32,httpie-svb-auth,6,3667
33,plot-utils,5,13276895
34,yaoyao-nest-20171212,5,1046
35,dsp3,5,18848
36,qth-registrar,5,5246
37,graf-py,4,4335
38,icsemantic-catalog,4,83882
39,ctc,4,2634
40,plurk-dice,4,5755
41,torskel,4,19969
42,bup-cron,4,16711
43,django-oscar-promotions,4,28143
44,djingles,3,225573
45,glimpy,3,6054
46,isaacto-html-table-extractor,3,5098
47,sem-emergency-stop,3,13044
48,aimrobot,2,14879
49,terracotta,2,1606643
50,yzj-athletelist,2,1052
51,products-ploneboardpasteobject,2,6384
52,vsts-cli-team,2,5840
53,odoo13-addon-web-ir-actions-act-multi,2,22750
54,python-coinbase-client-api,2,6832
55,polar,2,10108
56,onvif-py3,2,162781
57,balebot,2,89833
58,breach-buster,2,4359
59,fplanck,2,8644
60,pipline,2,724
61,aiohttpxmlrpc,2,1534
62,scs-host-posix,2,10382
63,vn-py,1,3231
64,pyclr,1,2108
65,redis-writer,1,2902
66,kser-transport-kafka,1,3049
67,sgftree-gelya,1,13614
68,mwrz,1,2471
69,pytest-minecraft,1,4197
70,rpm-spec-dependency-analyzer,1,9834
71,plover-michela,1,937646
72,searchgrid,1,6179
73,absolutely-nothing,1,894
74,quadwi,1,2286
75,tifffolder,1,13595
76,moodle2edx,1,142227
77,upt,1,25094
78,protoweb,1,10785
79,python-hoiio,1,2477
80,bioprinter,1,7009
81,sentry-slack,1,6283
82,tomcom-plonechanges-plonesite,1,8656
83,jsock,1,4825
84,iwx,1,14682
85,odoo12-addon-base-export-manager,1,118844
86,basiccal,1,1777
87,openerp-decimal-precision,1,66785
88,odoo8-addon-crm-lead-sale-link,1,104256
89,mariolz-nester,1,492
90,portfoliomanager,1,3149
91,odoo11-addon-project-timeline-task-dependency,1,30650
92,bob-db-asvspoof2017,1,95195
93,ecr-cleanup,1,1676
94,docker-tutorial,1,158921
95,funcserver,1,247878
96,awesomestream,1,8445
97,sti-info-scrape,1,6787
98,nti-site,1,50764
